,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,price-binned
0,3,115.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,-0.4254799003350025,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27,13495.0,Low
1,3,115.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,-0.4254799003350025,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27,16500.0,Low
2,1,115.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,-0.23094769053589323,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,26,16500.0,Low
3,2,164.0,audi,gas,std,four,sedan,fwd,front,99.8,0.20674978151210724,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,30,13950.0,Low
4,2,164.0,audi,gas,std,four,sedan,4wd,front,99.4,0.20674978151210724,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,22,17450.0,Low
5,2,115.0,audi,gas,std,two,sedan,fwd,front,99.8,0.26348834270351607,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,15250.0,Low
6,1,158.0,audi,gas,std,four,sedan,fwd,front,105.8,1.5117366889144772,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,17710.0,Low
7,1,115.0,audi,gas,std,four,wagon,fwd,front,105.8,1.5117366889144772,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,18920.0,Medium
8,1,158.0,audi,gas,turbo,four,sedan,fwd,front,105.8,1.5117366889144772,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,20,23875.0,Medium
9,0,115.0,audi,gas,turbo,two,hatchback,4wd,front,99.5,0.33643792137818085,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,14.6875,22,10295.0,Low
10,2,192.0,bmw,gas,std,two,sedan,rwd,front,101.2,0.2229607989953679,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29,16430.0,Low
11,0,192.0,bmw,gas,std,four,sedan,rwd,front,101.2,0.2229607989953679,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29,16925.0,Low
12,0,188.0,bmw,gas,std,two,sedan,rwd,front,101.2,0.2229607989953679,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28,20970.0,Medium
13,0,188.0,bmw,gas,std,four,sedan,rwd,front,101.2,0.2229607989953679,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28,21105.0,Medium
14,1,115.0,bmw,gas,std,four,sedan,rwd,front,103.5,1.211832865474182,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,25,24565.0,Medium
15,0,115.0,bmw,gas,std,four,sedan,rwd,front,103.5,1.211832865474182,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22,30760.0,Medium
16,0,115.0,bmw,gas,std,two,sedan,rwd,front,103.5,1.600897285072405,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22,41315.0,High
17,0,115.0,bmw,gas,std,four,sedan,rwd,front,110.0,1.8602735648045523,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,20,36880.0,High
18,2,121.0,chevrolet,gas,std,two,hatchback,fwd,front,88.4,-2.6707058217664112,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5.0,53,5151.0,Low
19,1,98.0,chevrolet,gas,std,two,hatchback,fwd,front,94.5,-1.4710905280052253,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43,6295.0,Low
20,0,81.0,chevrolet,gas,std,four,sedan,fwd,front,94.5,-1.2360307744979655,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43,6575.0,Low
21,1,118.0,dodge,gas,std,two,hatchback,fwd,front,93.7,-1.35761340562241,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,6.351351351351352,41,5572.0,Low
22,1,118.0,dodge,gas,std,two,hatchback,fwd,front,93.7,-1.35761340562241,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6377.0,Low
23,1,118.0,dodge,gas,turbo,two,hatchback,fwd,front,93.7,-1.35761340562241,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,7957.0,Low
24,1,148.0,dodge,gas,std,four,hatchback,fwd,front,93.7,-1.35761340562241,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6229.0,Low
25,1,148.0,dodge,gas,std,four,sedan,fwd,front,93.7,-1.35761340562241,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6692.0,Low
26,1,148.0,dodge,gas,std,four,sedan,fwd,front,93.7,-1.35761340562241,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,7609.0,Low
27,1,148.0,dodge,gas,turbo,,sedan,fwd,front,93.7,-1.35761340562241,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,8558.0,Low
28,-1,110.0,dodge,gas,std,four,wagon,fwd,front,103.3,0.044639606679514644,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,9.791666666666666,30,8921.0,Low
29,3,145.0,dodge,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330064,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12.368421052631579,24,12964.0,Low
30,2,137.0,honda,gas,std,two,hatchback,fwd,front,86.6,-2.3870130158093743,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,4.795918367346939,54,6479.0,Low
31,2,137.0,honda,gas,std,two,hatchback,fwd,front,86.6,-2.3870130158093743,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.580645161290323,38,6855.0,Low
32,1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,-1.9493155437613738,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,6.184210526315789,42,5399.0,Low
33,1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,-1.9493155437613738,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34,6529.0,Low
34,1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,-1.9493155437613738,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34,7129.0,Low
35,0,110.0,honda,gas,std,four,sedan,fwd,front,96.5,-0.863177372383003,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34,7295.0,Low
36,0,78.0,honda,gas,std,four,wagon,fwd,front,96.5,-1.3738244231056707,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7.833333333333333,34,7295.0,Low
37,0,106.0,honda,gas,std,two,hatchback,fwd,front,96.5,-0.5308515139761887,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,7895.0,Low
38,0,106.0,honda,gas,std,two,hatchback,fwd,front,96.5,-0.5308515139761887,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,9095.0,Low
39,0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,0.10948367661255261,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,8845.0,Low
40,0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,0.10948367661255261,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33,10295.0,Low
41,0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,0.10948367661255261,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,9.791666666666666,28,12945.0,Low
42,1,107.0,honda,gas,std,two,sedan,fwd,front,96.5,-0.401163374110115,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,9.4,31,10345.0,Low
43,0,115.0,isuzu,gas,std,four,sedan,rwd,front,94.3,-0.2714752342440414,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,9.791666666666666,29,6785.0,Low
44,1,115.0,isuzu,gas,std,two,sedan,fwd,front,94.5,-1.4710905280052253,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43,10295.0,Low
45,0,115.0,isuzu,gas,std,four,sedan,fwd,front,94.5,-1.4710905280052253,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43,10295.0,Low
46,2,115.0,isuzu,gas,std,two,hatchback,rwd,front,96.0,-0.11747056815307795,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,9.791666666666666,29,11048.0,Low
47,0,145.0,jaguar,gas,std,four,sedan,rwd,front,113.0,2.071016792086922,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19,32250.0,High
48,0,115.0,jaguar,gas,std,four,sedan,rwd,front,113.0,2.071016792086922,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19,35550.0,High
49,0,115.0,jaguar,gas,std,two,sedan,rwd,front,102.0,1.430681601498181,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,18.076923076923077,17,36000.0,High
50,1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,-1.211714248273078,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.833333333333333,31,5195.0,Low
51,1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,-1.211714248273078,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38,6095.0,Low
52,1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,-1.211714248273078,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38,6795.0,Low
53,1,113.0,mazda,gas,std,four,sedan,fwd,front,93.1,-0.5875900751675951,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38,6695.0,Low
54,1,113.0,mazda,gas,std,four,sedan,fwd,front,93.1,-0.5875900751675951,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7.580645161290323,38,7395.0,Low
55,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.4092688828517442,65.7,49.6,2380,rotor,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,13.823529411764707,23,10945.0,Low
56,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.4092688828517442,65.7,49.6,2380,rotor,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,13.823529411764707,23,11845.0,Low
57,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.4092688828517442,65.7,49.6,2385,rotor,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,13.823529411764707,23,13645.0,Low
58,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.4092688828517442,65.7,49.6,2500,rotor,two,80,mpfi,3.31,3.29,9.4,135.0,6000.0,14.6875,23,15645.0,Low
59,1,129.0,mazda,gas,std,two,hatchback,fwd,front,98.8,0.3040158864116642,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,8845.0,Low
60,0,115.0,mazda,gas,std,four,sedan,fwd,front,98.8,0.3040158864116642,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,8495.0,Low
61,1,129.0,mazda,gas,std,two,hatchback,fwd,front,98.8,0.3040158864116642,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,10595.0,Low
62,0,115.0,mazda,gas,std,four,sedan,fwd,front,98.8,0.3040158864116642,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,10245.0,Low
63,0,115.0,mazda,diesel,std,,sedan,fwd,front,98.8,0.3040158864116642,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,6.527777777777778,42,10795.0,Low
64,0,115.0,mazda,gas,std,four,hatchback,fwd,front,98.8,0.3040158864116642,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32,11245.0,Low
65,0,118.0,mazda,gas,std,four,sedan,rwd,front,104.9,0.07706164164603363,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,12.368421052631579,27,18280.0,Low
66,0,115.0,mazda,diesel,std,four,sedan,rwd,front,104.9,0.07706164164603363,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,7.580645161290323,39,18344.0,Low
67,-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,1.3658375315651452,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,25552.0,Medium
68,-1,93.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,1.3658375315651452,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,28248.0,Medium
69,0,93.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,1.0902502343497373,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,28176.0,Medium
70,-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,2.314182054335811,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25,31600.0,Medium
71,-1,115.0,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,2.314182054335811,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,18,34184.0,High
72,3,142.0,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.506653604952405,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,18,35056.0,High
73,0,115.0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,2.7599850351254407,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16,40960.0,High
74,1,115.0,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,2.038594757120403,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16,45400.0,High
75,1,115.0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.3526489388614415,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,12.368421052631579,24,16503.0,Low
76,2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,-1.35761340562241,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,41,5389.0,Low
77,2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,-1.35761340562241,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6189.0,Low
78,2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,-1.35761340562241,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38,6669.0,Low
79,1,161.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,-1.35761340562241,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30,7689.0,Low
80,3,153.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,-0.08504853318655897,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30,9959.0,Low
81,3,153.0,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,-0.08504853318655897,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32,8499.0,Low
82,3,115.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330064,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12.368421052631579,24,12629.0,Low
83,3,115.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330064,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,24,14869.0,Low
84,3,115.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330064,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,24,14489.0,Low
85,1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,-0.13368158563633628,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32,6989.0,Low
86,1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,-0.13368158563633628,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32,8189.0,Low
87,1,125.0,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,-0.13368158563633628,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30,9279.0,Low
88,-1,137.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,-0.13368158563633628,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30,9279.0,Low
89,1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,-0.7091727062920395,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,5499.0,Low
90,1,128.0,nissan,diesel,std,two,sedan,fwd,front,94.5,-0.7091727062920395,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,5.222222222222222,50,7099.0,Low
91,1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,-0.7091727062920395,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,6649.0,Low
92,1,122.0,nissan,gas,std,four,sedan,fwd,front,94.5,-0.7091727062920395,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,6849.0,Low
93,1,103.0,nissan,gas,std,four,wagon,fwd,front,94.5,-0.31200277795218956,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7349.0,Low
94,1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,-0.7091727062920395,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7299.0,Low
95,1,128.0,nissan,gas,std,two,hatchback,fwd,front,94.5,-0.6848561800671521,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7799.0,Low
96,1,122.0,nissan,gas,std,four,sedan,fwd,front,94.5,-0.7091727062920395,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7499.0,Low
97,1,103.0,nissan,gas,std,four,wagon,fwd,front,94.5,-0.31200277795218956,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,7999.0,Low
98,2,168.0,nissan,gas,std,two,hardtop,fwd,front,95.1,-0.9442324597992993,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37,8249.0,Low
99,0,106.0,nissan,gas,std,four,hatchback,fwd,front,97.2,-0.052626498220039994,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34,8949.0,Low
100,0,106.0,nissan,gas,std,four,sedan,fwd,front,97.2,-0.052626498220039994,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34,9549.0,Low
101,0,128.0,nissan,gas,std,four,sedan,fwd,front,100.4,0.6201307273352179,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,22,13499.0,Low
